,Voter registration check,Polling location finder,Twitter
SouthCarolina,https://info.scvotes.sc.gov/eng/voterinquiry/VoterInformationRequest.aspx?PageMode=VoterInfo,https://info.scvotes.sc.gov/eng/voterinquiry/VoterInformationRequest.aspx?PageMode=VoterInfo,https://twitter.com/scvotes
SouthDakota,https://sos.sd.gov/Elections/VIPLogin.aspx/,https://sos.sd.gov/elections/VIPLogin.aspx,https://twitter.com/shantelkrebs
Tennessee,https://tnmap.tn.gov/voterlookup/,https://tnmap.tn.gov/voterlookup/,https://twitter.com/SecTreHargett
Texas,https://teamrv-mvp.sos.texas.gov/MVP/mvp.do,https://teamrv-mvp.sos.texas.gov/MVP/mvp.do,https://twitter.com/TXsecofstate
Utah,https://vote.utah.gov/vote/menu/index,https://vote.utah.gov/vote/menu/index,https://twitter.com/electionsutah
Vermont,https://mvp.sec.state.vt.us/,https://mvp.sec.state.vt.us/,https://twitter.com/vermontsos
Virginia,https://vote.elections.virginia.gov/VoterInformation,https://vote.elections.virginia.gov/VoterInformation/PollingPlaceLookup,https://twitter.com/vaelect?lang=en-gb
Washington,https://weiapplets.sos.wa.gov/MyVote/#/login,https://weiapplets.sos.wa.gov/MyVote/#/login,https://twitter.com/dcboee?lang=en-gb
WestVirginia,https://services.sos.wv.gov/Elections/Voter/AmIRegisteredToVote,https://services.sos.wv.gov/Elections/Voter/FindMyPollingPlace,https://twitter.com/NatalieTennant
Wisconsin,https://myvote.wi.gov/en-us/MyVoterInfo,https://myvote.wi.gov/en-us/FindMyPollingPlace,https://twitter.com/Wisconsin_GAB
Wyoming,http://soswy.state.wy.us/contactus.aspx,http://soswy.state.wy.us/Elections/PollPlace/Default.aspx,https://twitter.com/EdMurrayforWyo?lang=en
